param,value,unit,lower,upper,city,latitude,longitude
Oranges (1 lb),0.86,€,0.68,1,Arezzo,43.51720195,11.763879181253118
Tomato (1 lb),1.51,€,0.68,1.59,Arezzo,43.51720195,11.763879181253118
Potato (1 lb),0.62,€,0.27,0.82,Arezzo,43.51720195,11.763879181253118
Onion (1 lb),0.78,€,0.36,0.91,Arezzo,43.51720195,11.763879181253118
Lettuce (1 head),0.4,€,0.3,0.5,Arezzo,43.51720195,11.763879181253118
Water (1.5 liter bottle),0.58,€,0.2,1.5,Arezzo,43.51720195,11.763879181253118
Bottle of Wine (Mid-Range),10.5,€,6,15,Arezzo,43.51720195,11.763879181253118
Domestic Beer (0.5 liter bottle),1.4,€,0.6,2,Arezzo,43.51720195,11.763879181253118
Imported Beer (12 oz small bottle),3.33,€,1,4,Arezzo,43.51720195,11.763879181253118
Cigarettes 20 Pack (Marlboro),5.6,€,5.4,5.6,Arezzo,43.51720195,11.763879181253118
One-way Ticket (Local Transport),1.75,€,1.5,2,Arezzo,43.51720195,11.763879181253118
Monthly Pass (Regular Price),36.0,€,35,45,Arezzo,43.51720195,11.763879181253118
Taxi Start (Normal Tariff),3.25,€,3,3.5,Arezzo,43.51720195,11.763879181253118
Taxi 1 mile (Normal Tariff),4.02,€,3.22,4.83,Arezzo,43.51720195,11.763879181253118
Taxi 1hour Waiting (Normal Tariff),30.0,€,30,35,Arezzo,43.51720195,11.763879181253118
Gasoline (1 gallon),8.3,€,8.3,8.3,Arezzo,43.51720195,11.763879181253118
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),23700.0,€,"23,400.00","24,000.00",Arezzo,43.51720195,11.763879181253118
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),26333.33,€,"27,000.00","28,000.00",Arezzo,43.51720195,11.763879181253118
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 915 sq ft Apartment",173.92,€,116.88,226.67,Arezzo,43.51720195,11.763879181253118
Mobile Phone Monthly Plan with Calls and 10GB+ Data,14.99,€,8,14.99,Arezzo,43.51720195,11.763879181253118
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",29.6,€,25,40,Arezzo,43.51720195,11.763879181253118
"Fitness Club, Monthly Fee for 1 Adult",53.75,€,45,70,Arezzo,43.51720195,11.763879181253118
Tennis Court Rent (1 Hour on Weekend),21.25,€,20,25,Arezzo,43.51720195,11.763879181253118
"Cinema, International Release, 1 Seat",9.0,€,8,10,Arezzo,43.51720195,11.763879181253118
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child",316.67,€,300,333.33,Arezzo,43.51720195,11.763879181253118
"International Primary School, Yearly for 1 Child",7000.0,€,"7,000.00","7,000.00",Arezzo,43.51720195,11.763879181253118
1 Pair of Jeans (Levis 501 Or Similar),33.75,€,22,40,Arezzo,43.51720195,11.763879181253118
"1 Summer Dress in a Chain Store (Zara, H&M, ...)",25.0,€,20,29.99,Arezzo,43.51720195,11.763879181253118
1 Pair of Nike Running Shoes (Mid-Range),90.0,€,50,110,Arezzo,43.51720195,11.763879181253118
1 Pair of Men Leather Business Shoes,92.5,€,70,120,Arezzo,43.51720195,11.763879181253118
Apartment (1 bedroom) in City Centre,583.33,€,550,650,Arezzo,43.51720195,11.763879181253118
Apartment (1 bedroom) Outside of Centre,450.0,€,,,Arezzo,43.51720195,11.763879181253118
Apartment (3 bedrooms) in City Centre,900.0,€,,,Arezzo,43.51720195,11.763879181253118
Apartment (3 bedrooms) Outside of Centre,750.0,€,750,750,Arezzo,43.51720195,11.763879181253118
Price per Square Feet to Buy Apartment in City Centre,244.64,€,232.26,250.84,Arezzo,43.51720195,11.763879181253118
Price per Square Feet to Buy Apartment Outside of Centre,116.13,€,92.9,139.35,Arezzo,43.51720195,11.763879181253118
Average Monthly Net Salary (After Tax),1612.5,€,,,Arezzo,43.51720195,11.763879181253118
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",4.1,,1.5,4.9,Arezzo,43.51720195,11.763879181253118
"Meal, Inexpensive Restaurant",12.0,€,10,15,Aosta,45.7370885,7.3196649
"Meal for 2 People, Mid-range Restaurant, Three-course",70.0,€,65,75,Aosta,45.7370885,7.3196649
McMeal at McDonalds (or Equivalent Combo Meal),7.4,€,7,7.8,Aosta,45.7370885,7.3196649
Domestic Beer (1 pint draught),4.75,€,4,8,Aosta,45.7370885,7.3196649
Imported Beer (12 oz small bottle),3.0,€,3,4,Aosta,45.7370885,7.3196649
Cappuccino (regular),1.54,€,1.3,1.75,Aosta,45.7370885,7.3196649
Coke/Pepsi (12 oz small bottle),2.92,€,2.75,3,Aosta,45.7370885,7.3196649
Water (12 oz small bottle),1.75,€,1,2.5,Aosta,45.7370885,7.3196649
"Milk (regular), (1 gallon)",5.2,€,4.54,7,Aosta,45.7370885,7.3196649
Loaf of Fresh White Bread (1 lb),1.7,€,1.36,2.72,Aosta,45.7370885,7.3196649
"Rice (white), (1 lb)",0.91,€,0.59,1.36,Aosta,45.7370885,7.3196649
Eggs (regular) (12),2.7,€,2.4,3,Aosta,45.7370885,7.3196649
Local Cheese (1 lb),8.01,€,6.58,9.07,Aosta,45.7370885,7.3196649
Chicken Fillets (1 lb),6.5,€,5.9,6.8,Aosta,45.7370885,7.3196649
Beef Round (1 lb) (or Equivalent Back Leg Red Meat),9.53,€,8.16,11.34,Aosta,45.7370885,7.3196649
Apples (1 lb),1.09,€,0.82,1.36,Aosta,45.7370885,7.3196649
Banana (1 lb),0.79,€,0.77,0.82,Aosta,45.7370885,7.3196649
Oranges (1 lb),0.95,€,0.82,1.13,Aosta,45.7370885,7.3196649
Potato (1 lb),0.86,€,0.82,0.91,Aosta,45.7370885,7.3196649
Onion (1 lb),0.98,€,0.91,1.13,Aosta,45.7370885,7.3196649
Lettuce (1 head),1.38,€,0.4,2.5,Aosta,45.7370885,7.3196649
Water (1.5 liter bottle),0.36,€,0.1,1,Aosta,45.7370885,7.3196649
Bottle of Wine (Mid-Range),7.0,€,4.5,10,Aosta,45.7370885,7.3196649
Domestic Beer (0.5 liter bottle),1.38,€,1.3,1.5,Aosta,45.7370885,7.3196649
Imported Beer (12 oz small bottle),2.0,€,1.4,2.5,Aosta,45.7370885,7.3196649
Cigarettes 20 Pack (Marlboro),6.0,€,5.5,6.2,Aosta,45.7370885,7.3196649
One-way Ticket (Local Transport),1.5,€,1.2,1.8,Aosta,45.7370885,7.3196649
Monthly Pass (Regular Price),37.0,€,,,Aosta,45.7370885,7.3196649
Taxi 1 mile (Normal Tariff),2.14,€,1.77,2.5,Aosta,45.7370885,7.3196649
Taxi 1hour Waiting (Normal Tariff),28.5,€,,,Aosta,45.7370885,7.3196649
Gasoline (1 gallon),8.27,€,7.57,8.52,Aosta,45.7370885,7.3196649
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),18500.0,€,"18,000.00","19,000.00",Aosta,45.7370885,7.3196649
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),23750.0,€,"19,500.00","28,000.00",Aosta,45.7370885,7.3196649
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 915 sq ft Apartment",175.83,€,100,300,Aosta,45.7370885,7.3196649
Mobile Phone Monthly Plan with Calls and 10GB+ Data,14.99,€,14.99,14.99,Aosta,45.7370885,7.3196649
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",35.0,€,35,35,Aosta,45.7370885,7.3196649
"Fitness Club, Monthly Fee for 1 Adult",53.33,€,40,60,Aosta,45.7370885,7.3196649
Tennis Court Rent (1 Hour on Weekend),19.5,€,15,24,Aosta,45.7370885,7.3196649
"Cinema, International Release, 1 Seat",9.0,€,8,9,Aosta,45.7370885,7.3196649
"International Primary School, Yearly for 1 Child",17000.0,€,,,Aosta,45.7370885,7.3196649
1 Pair of Jeans (Levis 501 Or Similar),92.5,€,70,120,Aosta,45.7370885,7.3196649
"1 Summer Dress in a Chain Store (Zara, H&M, ...)",41.67,€,25,50,Aosta,45.7370885,7.3196649
1 Pair of Nike Running Shoes (Mid-Range),105.0,€,75,130,Aosta,45.7370885,7.3196649
1 Pair of Men Leather Business Shoes,130.0,€,60,160,Aosta,45.7370885,7.3196649
Apartment (1 bedroom) in City Centre,700.0,€,,,Aosta,45.7370885,7.3196649
Apartment (1 bedroom) Outside of Centre,600.0,€,,,Aosta,45.7370885,7.3196649
Apartment (3 bedrooms) in City Centre,887.5,€,875,900,Aosta,45.7370885,7.3196649
Apartment (3 bedrooms) Outside of Centre,750.0,€,,,Aosta,45.7370885,7.3196649
Price per Square Feet to Buy Apartment in City Centre,232.26,€,,,Aosta,45.7370885,7.3196649
Price per Square Feet to Buy Apartment Outside of Centre,185.8,€,,,Aosta,45.7370885,7.3196649
Average Monthly Net Salary (After Tax),1866.67,€,,,Aosta,45.7370885,7.3196649
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",3.68,,1.25,4.9,Aosta,45.7370885,7.3196649
"Meal, Inexpensive Restaurant",14.0,€,10,20,Anzio (Rome),41.4471008,12.6285618
"Meal for 2 People, Mid-range Restaurant, Three-course",40.0,€,35,60,Anzio (Rome),41.4471008,12.6285618
McMeal at McDonalds (or Equivalent Combo Meal),10.0,€,8,11,Anzio (Rome),41.4471008,12.6285618
Domestic Beer (1 pint draught),4.0,€,3,6.5,Anzio (Rome),41.4471008,12.6285618
Imported Beer (12 oz small bottle),3.0,€,3,4,Anzio (Rome),41.4471008,12.6285618
Cappuccino (regular),1.05,€,1,2,Anzio (Rome),41.4471008,12.6285618
Coke/Pepsi (12 oz small bottle),1.7,€,1.5,2,Anzio (Rome),41.4471008,12.6285618
Water (12 oz small bottle),0.88,€,0.5,1,Anzio (Rome),41.4471008,12.6285618
"Milk (regular), (1 gallon)",4.1,€,2.99,4.92,Anzio (Rome),41.4471008,12.6285618
Loaf of Fresh White Bread (1 lb),0.83,€,0.54,0.91,Anzio (Rome),41.4471008,12.6285618
"Rice (white), (1 lb)",0.88,€,0.41,1.63,Anzio (Rome),41.4471008,12.6285618
Eggs (regular) (12),2.14,€,1,2.6,Anzio (Rome),41.4471008,12.6285618
Local Cheese (1 lb),4.79,€,2.72,6.2,Anzio (Rome),41.4471008,12.6285618
Chicken Fillets (1 lb),3.48,€,3.18,3.63,Anzio (Rome),41.4471008,12.6285618
Beef Round (1 lb) (or Equivalent Back Leg Red Meat),6.2,€,5.44,7.26,Anzio (Rome),41.4471008,12.6285618
Apples (1 lb),0.72,€,0.45,0.91,Anzio (Rome),41.4471008,12.6285618
Banana (1 lb),0.58,€,0.4,0.91,Anzio (Rome),41.4471008,12.6285618
Oranges (1 lb),0.58,€,0.45,0.68,Anzio (Rome),41.4471008,12.6285618
Tomato (1 lb),0.73,€,0.48,0.91,Anzio (Rome),41.4471008,12.6285618
Potato (1 lb),0.45,€,0.4,0.45,Anzio (Rome),41.4471008,12.6285618
Onion (1 lb),0.5,€,0.45,0.54,Anzio (Rome),41.4471008,12.6285618
Lettuce (1 head),1.08,€,0.75,1.7,Anzio (Rome),41.4471008,12.6285618
Water (1.5 liter bottle),0.31,€,0.22,0.33,Anzio (Rome),41.4471008,12.6285618
Bottle of Wine (Mid-Range),5.0,€,1.99,8,Anzio (Rome),41.4471008,12.6285618
Domestic Beer (0.5 liter bottle),1.2,€,1,1.5,Anzio (Rome),41.4471008,12.6285618
Imported Beer (12 oz small bottle),1.25,€,1,1.5,Anzio (Rome),41.4471008,12.6285618
Cigarettes 20 Pack (Marlboro),5.9,€,5.2,6,Anzio (Rome),41.4471008,12.6285618
One-way Ticket (Local Transport),1.5,€,1.5,1.5,Anzio (Rome),41.4471008,12.6285618
Monthly Pass (Regular Price),26.52,€,,,Anzio (Rome),41.4471008,12.6285618
Taxi Start (Normal Tariff),4.2,€,,,Anzio (Rome),41.4471008,12.6285618
Taxi 1 mile (Normal Tariff),2.64,€,2.06,3.22,Anzio (Rome),41.4471008,12.6285618
Taxi 1hour Waiting (Normal Tariff),27.7,€,,,Anzio (Rome),41.4471008,12.6285618
Gasoline (1 gallon),8.3,€,8.3,8.3,Anzio (Rome),41.4471008,12.6285618
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 915 sq ft Apartment",176.67,€,150,200,Anzio (Rome),41.4471008,12.6285618
Mobile Phone Monthly Plan with Calls and 10GB+ Data,14.99,€,14.99,14.99,Anzio (Rome),41.4471008,12.6285618
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",30.23,€,24.9,39,Anzio (Rome),41.4471008,12.6285618
"Fitness Club, Monthly Fee for 1 Adult",46.67,€,20,60,Anzio (Rome),41.4471008,12.6285618
Tennis Court Rent (1 Hour on Weekend),10.0,€,10,10,Anzio (Rome),41.4471008,12.6285618
"Cinema, International Release, 1 Seat",7.0,€,7,7,Anzio (Rome),41.4471008,12.6285618
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child",366.67,€,150,600,Anzio (Rome),41.4471008,12.6285618
1 Pair of Jeans (Levis 501 Or Similar),52.5,€,15,90,Anzio (Rome),41.4471008,12.6285618
"1 Summer Dress in a Chain Store (Zara, H&M, ...)",30.0,€,,,Anzio (Rome),41.4471008,12.6285618
1 Pair of Nike Running Shoes (Mid-Range),85.0,€,50,120,Anzio (Rome),41.4471008,12.6285618
1 Pair of Men Leather Business Shoes,130.0,€,90,170,Anzio (Rome),41.4471008,12.6285618
Apartment (1 bedroom) in City Centre,800.0,€,600,"1,000.00",Anzio (Rome),41.4471008,12.6285618
Apartment (1 bedroom) Outside of Centre,500.0,€,,,Anzio (Rome),41.4471008,12.6285618
Apartment (3 bedrooms) in City Centre,1000.0,€,,,Anzio (Rome),41.4471008,12.6285618
Apartment (3 bedrooms) Outside of Centre,800.0,€,,,Anzio (Rome),41.4471008,12.6285618
Price per Square Feet to Buy Apartment in City Centre,185.8,€,,,Anzio (Rome),41.4471008,12.6285618
Price per Square Feet to Buy Apartment Outside of Centre,464.51,€,,,Anzio (Rome),41.4471008,12.6285618
Average Monthly Net Salary (After Tax),1983.33,€,,,Anzio (Rome),41.4471008,12.6285618
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",3.7,,1.8,4.9,Anzio (Rome),41.4471008,12.6285618
"Meal for 2 People, Mid-range Restaurant, Three-course",30.0,€,,,Andria,41.2275731,16.2954806
McMeal at McDonalds (or Equivalent Combo Meal),7.8,€,,,Andria,41.2275731,16.2954806
Domestic Beer (1 pint draught),5.5,€,,,Andria,41.2275731,16.2954806
Imported Beer (12 oz small bottle),3.5,€,,,Andria,41.2275731,16.2954806
Cappuccino (regular),1.2,€,,,Andria,41.2275731,16.2954806
Coke/Pepsi (12 oz small bottle),1.5,€,,,Andria,41.2275731,16.2954806
Water (12 oz small bottle),0.8,€,,,Andria,41.2275731,16.2954806
"Milk (regular), (1 gallon)",4.92,€,,,Andria,41.2275731,16.2954806
Domestic Beer (0.5 liter bottle),1.52,€,,,Andria,41.2275731,16.2954806
Cigarettes 20 Pack (Marlboro),6.0,€,,,Andria,41.2275731,16.2954806
One-way Ticket (Local Transport),1.0,€,,,Andria,41.2275731,16.2954806
"Meal, Inexpensive Restaurant",15.0,€,12,20,Ancona,43.480120400000004,13.218790609151764
"Meal for 2 People, Mid-range Restaurant, Three-course",60.0,€,55,100,Ancona,43.480120400000004,13.218790609151764
McMeal at McDonalds (or Equivalent Combo Meal),8.25,€,7,10,Ancona,43.480120400000004,13.218790609151764
Domestic Beer (1 pint draught),5.0,€,4,6,Ancona,43.480120400000004,13.218790609151764
Imported Beer (12 oz small bottle),5.0,€,3,6,Ancona,43.480120400000004,13.218790609151764
Cappuccino (regular),1.55,€,1.2,2.5,Ancona,43.480120400000004,13.218790609151764
Coke/Pepsi (12 oz small bottle),2.42,€,2,3,Ancona,43.480120400000004,13.218790609151764
Water (12 oz small bottle),0.94,€,0.7,2,Ancona,43.480120400000004,13.218790609151764
"Milk (regular), (1 gallon)",4.54,€,3.75,5.68,Ancona,43.480120400000004,13.218790609151764
Loaf of Fresh White Bread (1 lb),1.91,€,0.91,3.63,Ancona,43.480120400000004,13.218790609151764
"Rice (white), (1 lb)",0.8,€,0.45,1.04,Ancona,43.480120400000004,13.218790609151764
Eggs (regular) (12),2.83,€,1.8,6,Ancona,43.480120400000004,13.218790609151764
Local Cheese (1 lb),5.72,€,3.4,9.07,Ancona,43.480120400000004,13.218790609151764
Chicken Fillets (1 lb),4.17,€,2.95,4.99,Ancona,43.480120400000004,13.218790609151764
Beef Round (1 lb) (or Equivalent Back Leg Red Meat),7.48,€,4.08,13.61,Ancona,43.480120400000004,13.218790609151764
Apples (1 lb),0.94,€,0.45,1.13,Ancona,43.480120400000004,13.218790609151764
Banana (1 lb),0.79,€,0.45,1.36,Ancona,43.480120400000004,13.218790609151764
Oranges (1 lb),0.95,€,0.45,1.36,Ancona,43.480120400000004,13.218790609151764
Tomato (1 lb),1.08,€,0.86,1.36,Ancona,43.480120400000004,13.218790609151764
Potato (1 lb),0.54,€,0.45,0.91,Ancona,43.480120400000004,13.218790609151764
Onion (1 lb),0.63,€,0.45,0.91,Ancona,43.480120400000004,13.218790609151764
Lettuce (1 head),1.3,€,1,3,Ancona,43.480120400000004,13.218790609151764
Water (1.5 liter bottle),0.56,€,0.2,1,Ancona,43.480120400000004,13.218790609151764
Bottle of Wine (Mid-Range),5.5,€,3,10,Ancona,43.480120400000004,13.218790609151764
Domestic Beer (0.5 liter bottle),1.65,€,1,2,Ancona,43.480120400000004,13.218790609151764
Imported Beer (12 oz small bottle),2.15,€,1.2,3,Ancona,43.480120400000004,13.218790609151764
Cigarettes 20 Pack (Marlboro),6.0,€,5,7,Ancona,43.480120400000004,13.218790609151764
One-way Ticket (Local Transport),1.43,€,1.25,2,Ancona,43.480120400000004,13.218790609151764
Monthly Pass (Regular Price),35.0,€,35,40,Ancona,43.480120400000004,13.218790609151764
Taxi Start (Normal Tariff),5.0,€,5,10,Ancona,43.480120400000004,13.218790609151764
Taxi 1 mile (Normal Tariff),2.74,€,1.45,4.02,Ancona,43.480120400000004,13.218790609151764
Taxi 1hour Waiting (Normal Tariff),35.0,€,,,Ancona,43.480120400000004,13.218790609151764
Gasoline (1 gallon),7.12,€,6.62,8.3,Ancona,43.480120400000004,13.218790609151764
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),23000.0,€,"20,000.00","26,000.00",Ancona,43.480120400000004,13.218790609151764
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),33500.0,€,"22,000.00","45,000.00",Ancona,43.480120400000004,13.218790609151764
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 915 sq ft Apartment",189.32,€,100,300,Ancona,43.480120400000004,13.218790609151764
Mobile Phone Monthly Plan with Calls and 10GB+ Data,14.99,€,8.9,15,Ancona,43.480120400000004,13.218790609151764
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",28.57,€,25,30,Ancona,43.480120400000004,13.218790609151764
"Fitness Club, Monthly Fee for 1 Adult",48.0,€,40,75,Ancona,43.480120400000004,13.218790609151764
Tennis Court Rent (1 Hour on Weekend),21.67,€,15,30,Ancona,43.480120400000004,13.218790609151764
"Cinema, International Release, 1 Seat",9.5,€,8,12,Ancona,43.480120400000004,13.218790609151764
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child",664.0,€,300,"1,456.00",Ancona,43.480120400000004,13.218790609151764
"International Primary School, Yearly for 1 Child",8000.0,€,,,Ancona,43.480120400000004,13.218790609151764
1 Pair of Jeans (Levis 501 Or Similar),76.0,€,20,120,Ancona,43.480120400000004,13.218790609151764
"1 Summer Dress in a Chain Store (Zara, H&M, ...)",31.67,€,25,40,Ancona,43.480120400000004,13.218790609151764
1 Pair of Nike Running Shoes (Mid-Range),85.0,€,60,100,Ancona,43.480120400000004,13.218790609151764
1 Pair of Men Leather Business Shoes,87.0,€,40,150,Ancona,43.480120400000004,13.218790609151764
Apartment (1 bedroom) in City Centre,518.75,€,450,600,Ancona,43.480120400000004,13.218790609151764
Apartment (1 bedroom) Outside of Centre,425.0,€,400,500,Ancona,43.480120400000004,13.218790609151764
Apartment (3 bedrooms) in City Centre,928.57,€,800,"1,200.00",Ancona,43.480120400000004,13.218790609151764
Apartment (3 bedrooms) Outside of Centre,683.33,€,600,700,Ancona,43.480120400000004,13.218790609151764
Price per Square Feet to Buy Apartment in City Centre,243.87,€,232.26,371.61,Ancona,43.480120400000004,13.218790609151764
Price per Square Feet to Buy Apartment Outside of Centre,192.77,€,139.35,278.71,Ancona,43.480120400000004,13.218790609151764
Average Monthly Net Salary (After Tax),1542.86,€,,,Ancona,43.480120400000004,13.218790609151764
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",3.58,,1.35,4.9,Ancona,43.480120400000004,13.218790609151764
"Meal, Inexpensive Restaurant",10.0,€,,,Anacapri,40.555713,14.2136104
"Meal for 2 People, Mid-range Restaurant, Three-course",45.0,€,,,Anacapri,40.555713,14.2136104
McMeal at McDonalds (or Equivalent Combo Meal),7.5,€,,,Anacapri,40.555713,14.2136104
Cappuccino (regular),1.1,€,,,Anacapri,40.555713,14.2136104
Coke/Pepsi (12 oz small bottle),1.5,€,,,Anacapri,40.555713,14.2136104
Water (12 oz small bottle),0.56,€,,,Anacapri,40.555713,14.2136104
One-way Ticket (Local Transport),2.5,€,,,Anacapri,40.555713,14.2136104
"Fitness Club, Monthly Fee for 1 Adult",80.0,€,,,Anacapri,40.555713,14.2136104
1 Pair of Men Leather Business Shoes,80.0,€,,,Anacapri,40.555713,14.2136104
Average Monthly Net Salary (After Tax),1300.0,€,,,Anacapri,40.555713,14.2136104
"Meal, Inexpensive Restaurant",10.0,€,5,30,Amalfi,40.63367,14.6026095
"Meal for 2 People, Mid-range Restaurant, Three-course",40.0,€,27.81,75,Amalfi,40.63367,14.6026095
McMeal at McDonalds (or Equivalent Combo Meal),10.64,€,7.42,13.86,Amalfi,40.63367,14.6026095
Domestic Beer (1 pint draught),5.0,€,2.5,5.56,Amalfi,40.63367,14.6026095
Imported Beer (12 oz small bottle),6.0,€,3.5,8.03,Amalfi,40.63367,14.6026095
Cappuccino (regular),1.57,€,1,3.09,Amalfi,40.63367,14.6026095
Coke/Pepsi (12 oz small bottle),3.67,€,2,5,Amalfi,40.63367,14.6026095
Water (12 oz small bottle),1.0,€,1,1.85,Amalfi,40.63367,14.6026095
"Milk (regular), (1 gallon)",3.85,€,3.6,4.92,Amalfi,40.63367,14.6026095
Loaf of Fresh White Bread (1 lb),0.73,€,0.68,2.27,Amalfi,40.63367,14.6026095
"Rice (white), (1 lb)",0.98,€,0.82,1.13,Amalfi,40.63367,14.6026095
Eggs (regular) (12),3.28,€,1.2,4.8,Amalfi,40.63367,14.6026095
Local Cheese (1 lb),5.52,€,3.63,9.07,Amalfi,40.63367,14.6026095
Chicken Fillets (1 lb),3.86,€,3.63,4.08,Amalfi,40.63367,14.6026095
Beef Round (1 lb) (or Equivalent Back Leg Red Meat),6.92,€,5.67,8.16,Amalfi,40.63367,14.6026095
Apples (1 lb),0.79,€,0.68,0.91,Amalfi,40.63367,14.6026095
Banana (1 lb),0.62,€,0.45,0.91,Amalfi,40.63367,14.6026095
Oranges (1 lb),0.73,€,0.59,0.91,Amalfi,40.63367,14.6026095
Tomato (1 lb),0.91,€,0.91,0.91,Amalfi,40.63367,14.6026095
Potato (1 lb),0.57,€,0.45,0.68,Amalfi,40.63367,14.6026095
Onion (1 lb),0.52,€,0.36,0.68,Amalfi,40.63367,14.6026095
Lettuce (1 head),1.3,€,1.3,1.3,Amalfi,40.63367,14.6026095
Water (1.5 liter bottle),0.38,€,0.25,0.5,Amalfi,40.63367,14.6026095
Bottle of Wine (Mid-Range),5.0,€,5,6,Amalfi,40.63367,14.6026095
Domestic Beer (0.5 liter bottle),1.27,€,1,1.5,Amalfi,40.63367,14.6026095
Imported Beer (12 oz small bottle),1.57,€,1.5,1.7,Amalfi,40.63367,14.6026095
Cigarettes 20 Pack (Marlboro),5.5,€,5,6,Amalfi,40.63367,14.6026095
One-way Ticket (Local Transport),1.3,€,1.3,1.3,Amalfi,40.63367,14.6026095
Monthly Pass (Regular Price),30.0,€,,,Amalfi,40.63367,14.6026095
Taxi Start (Normal Tariff),4.2,€,4.2,4.2,Amalfi,40.63367,14.6026095
Taxi 1 mile (Normal Tariff),1.93,€,1.93,1.93,Amalfi,40.63367,14.6026095
Taxi 1hour Waiting (Normal Tariff),27.0,€,27,27,Amalfi,40.63367,14.6026095
Gasoline (1 gallon),6.81,€,6.44,8.3,Amalfi,40.63367,14.6026095
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),25000.0,€,"25,000.00","25,000.00",Amalfi,40.63367,14.6026095
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),28000.0,€,"28,000.00","28,000.00",Amalfi,40.63367,14.6026095
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 915 sq ft Apartment",248.4,€,89.47,485.71,Amalfi,40.63367,14.6026095
Mobile Phone Monthly Plan with Calls and 10GB+ Data,14.99,€,7.99,14.99,Amalfi,40.63367,14.6026095
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",26.5,€,22,60,Amalfi,40.63367,14.6026095
"Fitness Club, Monthly Fee for 1 Adult",40.0,€,,,Amalfi,40.63367,14.6026095
"Cinema, International Release, 1 Seat",8.5,€,7.5,9,Amalfi,40.63367,14.6026095
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child",450.0,€,450,450,Amalfi,40.63367,14.6026095
"International Primary School, Yearly for 1 Child",3000.0,€,"3,000.00","3,000.00",Amalfi,40.63367,14.6026095
1 Pair of Jeans (Levis 501 Or Similar),67.5,€,55,120,Amalfi,40.63367,14.6026095
"1 Summer Dress in a Chain Store (Zara, H&M, ...)",36.67,€,25,80,Amalfi,40.63367,14.6026095
1 Pair of Nike Running Shoes (Mid-Range),76.67,€,45,100,Amalfi,40.63367,14.6026095
1 Pair of Men Leather Business Shoes,100.0,€,100,150,Amalfi,40.63367,14.6026095
Apartment (1 bedroom) in City Centre,826.88,€,700,953.75,Amalfi,40.63367,14.6026095
Apartment (1 bedroom) Outside of Centre,500.0,€,,,Amalfi,40.63367,14.6026095
Apartment (3 bedrooms) in City Centre,1200.0,€,,,Amalfi,40.63367,14.6026095
Apartment (3 bedrooms) Outside of Centre,900.0,€,,,Amalfi,40.63367,14.6026095
Price per Square Feet to Buy Apartment in City Centre,557.41,€,,,Amalfi,40.63367,14.6026095
Price per Square Feet to Buy Apartment Outside of Centre,371.61,€,,,Amalfi,40.63367,14.6026095
Average Monthly Net Salary (After Tax),1350.0,€,,,Amalfi,40.63367,14.6026095
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",3.08,,1.25,4.9,Amalfi,40.63367,14.6026095
"Meal, Inexpensive Restaurant",25.0,€,,,Altavilla Vicentina,45.5084288,11.4706863
"Meal for 2 People, Mid-range Restaurant, Three-course",60.0,€,,,Altavilla Vicentina,45.5084288,11.4706863
McMeal at McDonalds (or Equivalent Combo Meal),7.0,€,,,Altavilla Vicentina,45.5084288,11.4706863
Domestic Beer (1 pint draught),4.5,€,,,Altavilla Vicentina,45.5084288,11.4706863
Imported Beer (12 oz small bottle),3.0,€,,,Altavilla Vicentina,45.5084288,11.4706863
Cappuccino (regular),1.4,€,,,Altavilla Vicentina,45.5084288,11.4706863
Coke/Pepsi (12 oz small bottle),1.5,€,,,Altavilla Vicentina,45.5084288,11.4706863
Water (12 oz small bottle),1.0,€,,,Altavilla Vicentina,45.5084288,11.4706863
"Milk (regular), (1 gallon)",4.54,€,,,Altavilla Vicentina,45.5084288,11.4706863
